N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe,# Catégorie
0678.485.603,Agence Bruxelloise pour l'accompagnement de l'entreprise SA,1 - Services administratifs,ABAE/BAOB,"Chaussée de Charleroi 110, 1060 Saint-Gilles",35.65,215.73,C+,1
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,3 - Enseignement du jour OU du soir,Académie des beaux-arts et école Joseph Delclef,"Rue Potagère 52, 1210 Saint-Josse-ten-Noode",21.83,125.74,C,3
0240.682.635,Commission communautaire flamande,1 - Services administratifs,Admin. Huis Leo II,"Boulevard Léopold II 178, 1080 Molenbeek-Saint-Jean",41.86,237.01,C,1
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,1 - Services administratifs,Administration communale de Saint-Josse-ten-Noode,"Avenue de l'Astronomie 12, 1210 Saint-Josse-ten-Noode",52.54,312.45,D+,1
0316.380.841,Ministère de la Communauté flamande,"13 - Ateliers, centres funéraires, dépôts, ...",Agence des routes et du trafic,"Avenue des Olympiades 10, 1140 Evere",33.44,194.89,C-,13
0723.708.783,Agence européenne de défense,1 - Services administratifs,Agence européenne de défense,"Rue des Drapiers 17, 1050 Ixelles",57.68,352.48,D,1
0206.734.318,Fedris,1 - Services administratifs,Agence fédérale des risques professionnels,"Avenue de l'Astronomie 1, 1210 Saint-Josse-ten-Noode",68.02,407.83,D-,1
0214.596.464,bpost,1 - Services administratifs,Anderlecht Demosthene,"Boulevard Maurice Herbette 4, 1070 Anderlecht",65.99,387.96,D-,1
0214.596.464,bpost,1 - Services administratifs,Anderlecht Rue de l'Autonomie,"Rue de l'Autonomie 6, 1070 Anderlecht",45.8,289.86,C-,1
0214.596.464,bpost,1 - Services administratifs,Anderlecht Vaillance,"Place de la Vaillance 32, 1070 Anderlecht",75.89,461.89,E,1
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Arenberg,"Rue d'Arenberg 5, 1000 Bruxelles",44.66,278.11,C-,1
"0872.234.193,0410.716.014","La Trap',Institut Saint-Stanislas A.S.B.L.",11 - Théatres et centres culturels,Atelier 210 et Institut Saint-Stanislas,"Chaussée Saint-Pierre 210, 1040 Etterbeek",29.73,132.22,B-,11
0207.365.610,Administration communale d'Etterbeek,"13 - Ateliers, centres funéraires, dépôts, ...",Atelier Communal Voiries,"Place du Rinsdelle 24, 1040 Etterbeek",39.81,227.34,D+,13
0206.733.130,Conseil Central de l'Economie,1 - Services administratifs,Av Auderghem 18-20,"Avenue d'Auderghem 18, 1040 Bruxelles",30.21,175.89,B-,1
0458.880.274,Haute Ecole Galilée - HEG,5 - Enseignement supérieur,Avenue d'Auderghem 77,"Avenue d'Auderghem 77, 1040 Etterbeek",29.81,176.64,C-,5
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,11 - Théatres et centres culturels,Avenue des Arts,"Avenue des Arts 16, 1210 Saint-Josse-ten-Noode",41.46,239.88,D+,11
0949.383.342,Commission européenne,1 - Services administratifs,B232,"Rue Breydel 4, 1040 Bruxelles",54.96,337.24,D+,1
0949.383.342,Commission européenne,1 - Services administratifs,B-28,"Rue Belliard 28, 1040 Bruxelles",62.88,394.06,D-,1
0203.201.340,Banque Nationale de Belgique,1 - Services administratifs,Banque Nationale de Belgique,"Boulevard de Berlaimont 3, 1000 Bruxelles",33.79,203.12,C+,1
0203.201.340,Banque Nationale de Belgique,1 - Services administratifs,Banque Nationale de Belgique ,"Boulevard de Berlaimont 14, 1000 Bruxelles",34.6,212.49,C+,1
"0243.405.860,0316.380.841","Institut Belge des postes et télécommunications,Ministère de la Communauté flamande",1 - Services administratifs,Bâtiment Ellips,"Boulevard du Roi Albert II 35, 1030 Schaerbeek",71.31,441.09,E+,1
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Bâtiment Ferraris,"Boulevard du Roi Albert II 20, 1000 Bruxelles",40.48,249.9,C,1
0207.372.637,AC Watermael-Boitsfort,1 - Services administratifs,Bâtiment La Source,"Drève du Duc 2, 1170 Watermael-Boitsfort",46.49,263.1,C,1
0949.383.342,Commission européenne,1 - Services administratifs,BERL,"Rue de la Loi 200, 1040 Bruxelles",68.94,425.5,E+,1
0207.373.429,Ville de Bruxelles,11 - Théatres et centres culturels,Beurs,"Rue Henri Maus 2, 1000 Bruxelles",24.52,145,C+,11
