N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe
0678.485.603,Agence Bruxelloise pour l'accompagnement de l'entreprise SA,1 - Services administratifs,ABAE/BAOB,"Chaussée de Charleroi 110, 1060 Saint-Gilles",35.65,215.73,C+
0430.973.770,Ancienne Belgique,11 - Théatres et centres culturels,AB Ancienne Belgique,"Boulevard Anspach 110, 1000 Bruxelles",54.33,330.94,E+
0207.366.501,Commune de Molenbeek-Saint-Jean,4 - Enseignement du jour ET du soir,Academie de Dessin et des Arts visuels,"Rue Mommaerts 2A, 1080 Molenbeek-Saint-Jean",26.18,150.67,C
0207.365.709,Administration Communale d'Evere,1 - Services administratifs,Académie de musique,"Rue Edouard Stuckens 125, 1140 Evere",29.00,171.88,B-
0207.389.859,Commune de Woluwe-Saint-Lambert,4 - Enseignement du jour ET du soir,Académie de Woluwe-Saint-LambertADEMIE DE MUSIQUE DE WOLUWE-SAINT-LAMBERT,"Avenue des Deux Tilleuls 2A, 1200 Woluwe-Saint-Lambert",28.98,166.71,C-
0207.365.709,Administration Communale d'Evere,1 - Services administratifs,Action Sociale,"Rue de Paris 112A, 1140 Evere",63.29,364.98,D
0240.682.635,Commission communautaire flamande,1 - Services administratifs,Admin. Huis Leo II,"Boulevard Léopold II 178, 1080 Molenbeek-Saint-Jean",48.02,271.36,C-
0207.366.501,Commune de Molenbeek-Saint-Jean,1 - Services administratifs,Administration Communale de Molenbeek-Saint-Jean,"Rue du Comte de Flandre 20, 1080 Molenbeek-Saint-Jean",25.22,139.45,B
0212.347.450,CPAS d'Ixelles,1 - Services administratifs,Administration du service social,"Rue Jean Paquot 63B, 1050 Ixelles",45.30,262.42,C
0316.380.841,Ministère de la Communauté flamande,"13 - Ateliers, centres funéraires, dépôts, ...",Agence des routes et du trafic,"Avenue des Olympiades 10, 1140 Evere",33.44,194.89,C-
0723.708.783,Agence européenne de défense,1 - Services administratifs,Agence européenne de défense,"Rue des Drapiers 17, 1050 Ixelles",57.68,352.48,D
0206.734.318,Fedris,1 - Services administratifs,Agence fédérale des risques professionnels,"Avenue de l'Astronomie 1, 1210 Saint-Josse-ten-Noode",58.86,352.98,D
0207.389.859,Commune de Woluwe-Saint-Lambert,3 - Enseignement du jour OU du soir,Annexe Van Meyel - Verger (ex restaurant) ,"Avenue Georges Henri 251B, 1200 Woluwe-Saint-Lambert",53.87,302.63,F
0212.346.955,CPAS de Bruxelles,1 - Services administratifs,Antenne sociale Bollen,"Rue Jan Bollen 33B, 1020 Bruxelles",37.25,215.28,C+
0212.346.955,CPAS de Bruxelles,2 - Crèches,Antenne sociale Marolles,"Rue Notre-Dame de Grâces 1, 1000 Bruxelles",60.69,357.53,D-
0212.346.955,CPAS de Bruxelles,1 - Services administratifs,Antenne sociale Miroir,"Rue du Miroir 7, 1000 Bruxelles",43.19,248.94,C
0212.346.955,CPAS de Bruxelles,1 - Services administratifs,Antenne sociale Moorslede,"Rue de Moorslede 56, 1020 Bruxelles",40.56,231.25,C
0212.346.955,CPAS de Bruxelles,1 - Services administratifs,Antenne sociale Stéphanie,"Rue Stéphanie 27, 1020 Bruxelles",33.84,198.46,C+
0212.346.955,CPAS de Bruxelles,1 - Services administratifs,Antenne sociale St-Roch,"Chaussée d'Anvers 35, 1000 Bruxelles",54.57,327.31,D+
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Arenberg,"Rue d'Arenberg 5, 1000 Bruxelles",44.66,278.11,C-
"0872.234.193,0410.716.014","La Trap',Institut Saint-Stanislas A.S.B.L.",11 - Théatres et centres culturels,Atelier 210 et Institut Saint-Stanislas,"Chaussée Saint-Pierre 210, 1040 Etterbeek",29.73,132.22,B-
0207.365.610,Administration communale d'Etterbeek,"13 - Ateliers, centres funéraires, dépôts, ...",Atelier HAP/TOBY,"Rue Louis Hap 4, 1040 Etterbeek",84.36,488.91,G
0850.000.904,Athénée royal Gatti de Gamond,3 - Enseignement du jour OU du soir,Athénée Royal Gatti de Gamond 65,"Rue du Marais 65, 1000 Bruxelles",46.70,263.87,E
0850.000.904,Athénée royal Gatti de Gamond,3 - Enseignement du jour OU du soir,Athénée Royal Gatti de Gamond 68,"Rue du Marais 68, 1000 Bruxelles",35.62,167.24,C-
0544.279.965,Autorité des services et marchés financiers,1 - Services administratifs,Autorité des services et marchés financiers,"Rue du Congrès 12, 1000 Bruxelles",40.56,248.87,C
0212.346.955,CPAS de Bruxelles,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Aux Ursulines,"Rue des Ursulines 6, 1000 Bruxelles",43.53,255.19,C
0458.880.274,Haute Ecole Galilée - HEG,5 - Enseignement supérieur,Avenue d'Auderghem 77,"Avenue d'Auderghem 77, 1040 Etterbeek",29.81,176.64,C-
"0851.014.256,0858.344.981","Comité européen des régions,Comité économique et social européen",1 - Services administratifs,B68,"Rue Belliard 68, 1040 Bruxelles",52.71,325.75,D+
0203.201.340,Banque Nationale de Belgique,1 - Services administratifs,Banque Nationale de Belgique,"Boulevard de Berlaimont 3, 1000 Bruxelles",36.97,221.27,C+
0203.201.340,Banque Nationale de Belgique,1 - Services administratifs,Banque Nationale de Belgique ,"Boulevard de Berlaimont 14, 1000 Bruxelles",32.79,202.00,C+
0212.346.757,Centre Public d'Action Sociale de Berchem-Sainte-Agathe,1 - Services administratifs,Batiment Albert Laurent ,"Avenue de Selliers de Moranville 91, 1082 Berchem-Sainte-Agathe",71.95,413.74,D-
"0243.405.860,0316.380.841","Institut Belge des postes et télécommunications,Ministère de la Communauté flamande",1 - Services administratifs,Bâtiment Ellips,"Boulevard du Roi Albert II 35, 1030 Schaerbeek",67.77,418.29,D-
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Bâtiment Ferraris,"Boulevard du Roi Albert II 20, 1000 Bruxelles",36.83,226.62,C+
0207.372.637,AC Watermael-Boitsfort,1 - Services administratifs,Bâtiment La Source,"Drève du Duc 2, 1170 Watermael-Boitsfort",46.49,263.10,C
0236.916.956,Bruxelles Environnement,"13 - Ateliers, centres funéraires, dépôts, ...", Bâtiments techniques et administratifs,"Avenue du Parc de Woluwe 68, 1160 Auderghem",41.15,237.16,D
0207.389.859,Commune de Woluwe-Saint-Lambert,1 - Services administratifs,Bâtiment Tomberg 123,"Tomberg 123, 1200 Woluwe-Saint-Lambert",25.55,149.41,B
0949.383.342,Commission européenne,1 - Services administratifs,BERL,"Rue de la Loi 200, 1040 Bruxelles",68.94,425.50,E+
0207.366.501,Commune de Molenbeek-Saint-Jean,"12 - Musées, bibliothèques, médiathèques et services similaires",Bibliotheek - De Boekenmolen ,"Rue du Jardinier 47, 1080 Molenbeek-Saint-Jean",45.51,262.67,D
0207.365.610,Administration communale d'Etterbeek,"12 - Musées, bibliothèques, médiathèques et services similaires",Bibliothèque Hergé,"Avenue de la Chasse 211, 1040 Etterbeek",51.16,300.83,D-
0207.372.637,AC Watermael-Boitsfort,1 - Services administratifs,Bibliothèques / Centre administratif,"Rue des Trois Tilleuls 32, 1170 Watermael-Boitsfort",32.19,182.05,B-
0316.381.039,Service public régional de Bruxelles,1 - Services administratifs,BOTANIC,"Boulevard Saint-Lazare 8, 1210 Saint-Josse-ten-Noode",38.92,236.18,C
0949.383.342,Commission européenne,1 - Services administratifs,BRE2,"Avenue d'Auderghem 19, 1040 Bruxelles",46.92,289.18,C-
0949.383.342,Commission européenne,1 - Services administratifs,BREY,"Avenue d'Auderghem 45, 1040 Bruxelles",51.99,318.17,D+
0316.381.039,Service public régional de Bruxelles,1 - Services administratifs,BRUCEFO,"Boulevard Industriel 200, 1070 Anderlecht",64.52,386.04,D-
0252.168.920,Institut bruxellois francophone pour la Formation professionnelle (Franstalig Brussels Instituut voo,1 - Services administratifs,Bruxelles Formation,"Rue de Stalle 67, 1180 Uccle",47.39,288.75,C-
0240.682.635,Commission communautaire flamande,"13 - Ateliers, centres funéraires, dépôts, ...",BTC Loods,"Rue de la Technologie 19, 1082 Berchem-Sainte-Agathe",33.46,196.60,C-
0949.383.342,Commission européenne,1 - Services administratifs,BU-1-5-9,"Avenue de Beaulieu 1, 1160 Auderghem",60.03,364.07,D
0949.383.342,Commission européenne,1 - Services administratifs,BU24,"Avenue de Beaulieu 24, 1160 Auderghem",48.87,294.85,C-
